"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2020-01-03,"02:45:00","X2","HRX",97
2020-01-03,"14:35:00","X2","HRN",51
2020-01-03,NA,"X4","TM",10.9
2020-01-03,"12:43:00","X4","TX",14
2020-01-03,"08:31:00","X4","TN",8.7
2020-01-03,NA,"X4","HRM",63
2020-01-03,"04:02:00","X4","HRX",77
2020-01-03,"15:05:00","X4","HRN",47
2020-01-03,NA,"X4","PM",1026.2
2020-01-03,"10:00:00","X4","PX",1027.8
2020-01-03,"04:49:00","X4","PN",1024.8
2020-01-03,NA,"X4","PPT",0
2020-01-03,NA,"X4","RS24h",6.8
2020-01-03,NA,"X4","VVM10",1.3
2020-01-03,NA,"X4","DVM10",282
2020-01-03,"08:06:00","X4","VVX10",5.2
2020-01-03,"08:06:00","X4","DVVX10",298
2020-01-03,NA,"X8","TM",9.2
2020-01-03,"12:38:00","X8","TX",13.5
2020-01-03,"23:51:00","X8","TN",6.8
2020-01-03,NA,"X8","HRM",74
2020-01-03,"21:56:00","X8","HRX",86
2020-01-03,"14:06:00","X8","HRN",55
2020-01-03,NA,"X8","PM",1020.6
2020-01-03,"10:06:00","X8","PX",1022.1
2020-01-03,"05:00:00","X8","PN",1019.2
2020-01-03,NA,"X8","PPT",0
2020-01-03,NA,"X8","RS24h",6.6
2020-01-03,NA,"X8","VVM10",1.5
2020-01-03,NA,"X8","DVM10",293
2020-01-03,"03:29:00","X8","VVX10",5.5
2020-01-03,"03:29:00","X8","DVVX10",318
2020-01-04,NA,"D5","TM",9.7
2020-01-04,"13:06:00","D5","TX",14.3
2020-01-04,"20:42:00","D5","TN",6.8
2020-01-04,NA,"D5","HRM",58
2020-01-04,"10:02:00","D5","HRX",86
2020-01-04,"13:30:00","D5","HRN",44
2020-01-04,NA,"D5","PM",981.3
2020-01-04,"10:01:00","D5","PX",983.3
2020-01-04,"23:57:00","D5","PN",979.7
2020-01-04,NA,"D5","PPT",0
2020-01-04,NA,"D5","RS24h",9.1
2020-01-04,NA,"D5","VVM10",5.6
2020-01-04,NA,"D5","DVM10",304
2020-01-04,"20:27:00","D5","VVX10",16.4
2020-01-04,"20:27:00","D5","DVVX10",317
2020-01-04,NA,"X2","TM",8.9
2020-01-04,"13:21:00","X2","TX",14.7
2020-01-04,"07:02:00","X2","TN",4.6
2020-01-04,NA,"X2","HRM",69
2020-01-04,"02:30:00","X2","HRX",89
2020-01-04,"15:34:00","X2","HRN",44
2020-01-04,NA,"X4","TM",11.2
2020-01-04,"14:08:00","X4","TX",16.3
2020-01-04,"07:00:00","X4","TN",7.4
2020-01-04,NA,"X4","HRM",54
2020-01-04,"07:01:00","X4","HRX",71
2020-01-04,"14:13:00","X4","HRN",37
2020-01-04,NA,"X4","PM",1026.5
2020-01-04,"10:02:00","X4","PX",1028.5
2020-01-04,"23:59:00","X4","PN",1024.7
2020-01-04,NA,"X4","PPT",0
2020-01-04,NA,"X4","RS24h",8.9
2020-01-04,NA,"X4","VVM10",1.3
2020-01-04,NA,"X4","DVM10",274
2020-01-04,"16:42:00","X4","VVX10",7.8
2020-01-04,"16:42:00","X4","DVVX10",271
2020-01-04,NA,"X8","TM",9.8
2020-01-04,"13:50:00","X8","TX",16.2
2020-01-04,"07:03:00","X8","TN",4.6
2020-01-04,NA,"X8","HRM",63
2020-01-04,"07:04:00","X8","HRX",84
2020-01-04,"13:51:00","X8","HRN",38
2020-01-04,NA,"X8","PM",1020.8
2020-01-04,"10:02:00","X8","PX",1023
2020-01-04,"23:59:00","X8","PN",1018.9
2020-01-04,NA,"X8","PPT",0
2020-01-04,NA,"X8","RS24h",8.8
2020-01-04,NA,"X8","VVM10",2.3
2020-01-04,NA,"X8","DVM10",295
2020-01-04,"20:02:00","X8","VVX10",13.5
2020-01-04,"20:02:00","X8","DVVX10",309
2020-01-05,NA,"D5","TM",9.5
2020-01-05,"12:37:00","D5","TX",15.4
2020-01-05,"05:18:00","D5","TN",5.3
2020-01-05,NA,"D5","HRM",61
2020-01-05,"17:30:00","D5","HRX",87
2020-01-05,"10:18:00","D5","HRN",30
2020-01-05,NA,"D5","PM",978.9
2020-01-05,"22:09:00","D5","PX",980.3
2020-01-05,"13:38:00","D5","PN",977.7
2020-01-05,NA,"D5","PPT",0
2020-01-05,NA,"D5","RS24h",9.2
2020-01-05,NA,"D5","VVM10",4.6
2020-01-05,NA,"D5","DVM10",9
2020-01-05,"02:56:00","D5","VVX10",14.5
2020-01-05,"02:56:00","D5","DVVX10",316
2020-01-05,NA,"X2","TM",9.2
2020-01-05,"11:39:00","X2","TX",14.6
2020-01-05,"06:39:00","X2","TN",4.6
2020-01-05,NA,"X2","HRM",74
2020-01-05,"20:30:00","X2","HRX",94
2020-01-05,"11:37:00","X2","HRN",41
2020-01-05,NA,"X4","TM",11.5
2020-01-05,"11:16:00","X4","TX",15.3
2020-01-05,"07:22:00","X4","TN",7.8
2020-01-05,NA,"X4","HRM",57
2020-01-05,"21:07:00","X4","HRX",75
2020-01-05,"11:07:00","X4","HRN",34
2020-01-05,NA,"X4","PM",1023.9
2020-01-05,"22:31:00","X4","PX",1025.4
2020-01-05,"13:19:00","X4","PN",1022.3
2020-01-05,NA,"X4","PPT",0
2020-01-05,NA,"X4","RS24h",9.4
2020-01-05,NA,"X4","VVM10",1.2
2020-01-05,NA,"X4","DVM10",159
2020-01-05,"15:08:00","X4","VVX10",6.8
2020-01-05,"15:08:00","X4","DVVX10",72
2020-01-05,NA,"X8","TM",10.5
2020-01-05,"13:13:00","X8","TX",16.2
2020-01-05,"07:21:00","X8","TN",5.4
2020-01-05,NA,"X8","HRM",62
2020-01-05,"22:03:00","X8","HRX",91
2020-01-05,"12:05:00","X8","HRN",34
2020-01-05,NA,"X8","PM",1018.3
2020-01-05,"22:13:00","X8","PX",1019.8
2020-01-05,"13:13:00","X8","PN",1016.8
2020-01-05,NA,"X8","PPT",0
2020-01-05,NA,"X8","RS24h",9.1
2020-01-05,NA,"X8","VVM10",1.7
2020-01-05,NA,"X8","DVM10",20
2020-01-05,"00:12:00","X8","VVX10",9
2020-01-05,"00:12:00","X8","DVVX10",311
2020-01-06,NA,"D5","TM",9
2020-01-06,"13:37:00","D5","TX",13.7
2020-01-06,"06:29:00","D5","TN",6.5
2020-01-06,NA,"D5","HRM",73
2020-01-06,"18:14:00","D5","HRX",87
2020-01-06,"00:06:00","D5","HRN",48
2020-01-06,NA,"D5","PM",979.8
2020-01-06,"23:35:00","D5","PX",981.2
2020-01-06,"14:04:00","D5","PN",978.5
2020-01-06,NA,"D5","PPT",0
2020-01-06,NA,"D5","RS24h",9
2020-01-06,NA,"D5","VVM10",2.2
2020-01-06,NA,"D5","DVM10",67
2020-01-06,"03:03:00","D5","VVX10",7.1
2020-01-06,"03:03:00","D5","DVVX10",306
2020-01-06,NA,"X2","TM",9.3
2020-01-06,"13:38:00","X2","TX",14.3
2020-01-06,"03:17:00","X2","TN",5.8
2020-01-06,NA,"X2","HRM",78
2020-01-06,"21:13:00","X2","HRX",97
2020-01-06,"11:09:00","X2","HRN",53
2020-01-06,NA,"X4","TM",11.5
2020-01-06,"12:32:00","X4","TX",15.2
2020-01-06,"06:06:00","X4","TN",8.1
2020-01-06,NA,"X4","HRM",64
2020-01-06,"23:59:00","X4","HRX",78
2020-01-06,"11:01:00","X4","HRN",50
2020-01-06,NA,"X4","PM",1024.9
2020-01-06,"23:38:00","X4","PX",1026.5
2020-01-06,"14:06:00","X4","PN",1023.3
2020-01-06,NA,"X4","PPT",0
2020-01-06,NA,"X4","RS24h",9
2020-01-06,NA,"X4","VVM10",1
2020-01-06,NA,"X4","DVM10",4
2020-01-06,"23:34:00","X4","VVX10",3.8
2020-01-06,"23:34:00","X4","DVVX10",27
2020-01-06,NA,"X8","TM",9.6
2020-01-06,"13:15:00","X8","TX",15.7
2020-01-06,"06:12:00","X8","TN",4.8
2020-01-06,NA,"X8","HRM",75
2020-01-06,"23:53:00","X8","HRX",93
2020-01-06,"11:12:00","X8","HRN",52
2020-01-06,NA,"X8","PM",1019.3
2020-01-06,"23:36:00","X8","PX",1020.8
2020-01-06,"14:03:00","X8","PN",1017.8
2020-01-06,NA,"X8","PPT",0
2020-01-06,NA,"X8","RS24h",8.8
2020-01-06,NA,"X8","VVM10",0.9
2020-01-06,NA,"X8","DVM10",283
2020-01-06,"02:52:00","X8","VVX10",4.2
2020-01-06,"02:52:00","X8","DVVX10",339
2020-01-07,NA,"D5","TM",10.4
2020-01-07,"15:44:00","D5","TX",14
2020-01-07,"03:07:00","D5","TN",6.7
2020-01-07,NA,"D5","HRM",58
2020-01-07,"03:30:00","D5","HRX",86
2020-01-07,"23:59:00","D5","HRN",35
2020-01-07,NA,"D5","PM",979.8
