SSCCG_SSCC,MUNG_MUNCO,PROVG_PROV,CCAAG_CCAA,TIMESTAMP,DEVICE_AID,DEVICE_A_1,LATITUDE,LONGITUDE,HORIZONTAL,ALTITUDE,ALTITUDE_A,LOCATION_M,IP,USER_AGENT,OS,OS_VERSION,MANUFACTUR,MODEL,CARRIER,FECHA_DATO,THE_GEOM,ID_SSCC,ID_CP,ID_MUN,ID_PROV,ID_CCAA
"801910042","8019","8","9","1574085396",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4030089","2.1888908","11.9","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188891, 41.403009 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574085479",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4030089","2.1888908","15.4","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188891, 41.403009 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574082797",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.40309","2.1887831","10","0",\N,cell,176.83.69.113,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188783, 41.403090 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574082768",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.40309","2.1887831","6.9","0",\N,cell,176.83.69.113,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188783, 41.403090 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574101191",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887267","12.6","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188727, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574101294",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887267","16.3","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188727, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574071932",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028022","2.1887286","10.4","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188729, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574071946",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028022","2.1887286","5","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188729, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574071927",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028022","2.1887286","12.6","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188729, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
"801910042","8019","8","9","1574081454",17cac655-356c-4ef8-a116-0b1ea111ac99,AAID,"41.4028021","2.1887132","7.9","0",\N,fused,212.15.255.14,"Mozilla/5.0 (Linux; Android 8.0.0; SM-G930F Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.96 Mobile Safari/537.36",Android,"8",\N,\N,\N,2019/11/18,"{ ""coordinates"": [ 2.188713, 41.402802 ], ""type"": ""Point"" }","31890","6918","880","8","9"
